,0,1
0,2000.0,0.0
1,2001.0,0.0
2,2002.0,0.0
3,2003.0,0.0
4,2004.0,0.0
5,2005.0,0.0
6,2006.0,0.0
7,2007.0,0.0
8,2008.0,0.0
9,2009.0,0.0
10,2010.0,0.0
11,2011.0,0.0
12,2012.0,0.0
13,2013.0,4.591794749999999e-61
14,2014.0,0.0
15,2015.0,0.0
16,2016.0,0.0
17,2017.0,0.0
18,2018.0,5.21217221e-47
19,2019.0,6.82493666e-43
20,2020.0,0.0
21,2021.0,0.0
22,2022.0,0.0
23,2023.0,0.0
24,2024.0,0.0
25,2025.0,0.0
26,2026.0,0.0
27,2027.0,0.0
28,2028.0,0.0
29,2029.0,0.0
30,2030.0,1.03299469e-52
31,2031.0,0.0
32,2032.0,0.0
33,2033.0,0.0
34,2034.0,0.0
35,2035.0,0.0
36,2036.0,0.0
37,2037.0,0.0
38,2038.0,0.0
39,2039.0,0.0
40,2040.0,0.0
41,2041.0,0.0
42,2042.0,0.0
43,2043.0,0.0
44,2044.0,0.0
45,2045.0,0.0
46,2046.0,0.0
47,2047.0,7.512018509999999e-43
48,2048.0,0.0
49,2049.0,0.0
50,2050.0,0.0
51,2051.0,0.0
52,2052.0,0.0
53,2053.0,0.0
54,2054.0,0.0
55,2055.0,0.0
56,2056.0,0.0
57,2057.0,0.0
58,2058.0,0.0
59,2059.0,0.0
60,2060.0,0.0
61,2061.0,0.0
62,2062.0,0.0
63,2063.0,0.0
64,2064.0,0.0
65,2065.0,0.0
66,2066.0,0.0
67,2067.0,0.0
68,2068.0,0.0
69,2069.0,0.0
70,2070.0,0.0
71,2071.0,0.0
72,2072.0,0.0
73,2073.0,0.0
74,2074.0,0.0
75,2075.0,0.0
76,2076.0,0.0
77,2077.0,0.0
78,2078.0,0.0
79,2079.0,0.0
80,2080.0,0.0
81,2081.0,0.0
82,2082.0,0.0
83,2083.0,0.0
84,2084.0,0.0
85,2085.0,0.0
86,2086.0,0.0
87,2087.0,0.0
88,2088.0,0.0
89,2089.0,0.0
90,2090.0,0.0
91,2091.0,0.0
92,2092.0,0.0
93,2093.0,0.0
94,2094.0,0.0
95,2095.0,0.0
96,2096.0,0.0
97,2097.0,0.0
98,2098.0,0.0
99,2099.0,0.0
100,2100.0,0.0
101,2101.0,1.40969372e-63
102,2102.0,5.385886849999998e-70
103,2103.0,0.0
104,2104.0,0.0
105,2105.0,0.0
106,2106.0,0.0
107,2107.0,4.17210026e-49
108,2108.0,0.0
109,2109.0,0.0
110,2110.0,0.0
111,2111.0,0.0
112,2112.0,0.0
113,2113.0,0.0
114,2114.0,0.0
115,2115.0,0.0
116,2116.0,0.0
117,2117.0,0.0
118,2118.0,0.0
119,2119.0,0.0
120,2120.0,0.0
121,2121.0,0.0
